"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr232","NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","","Holmgren P (2023): NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. v1.219. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Dataset/Occurrence. https://ipt.jbrj.gov.br/reflora/resource?r=nyh&v=1.219","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr232","","","","12206"
"dr474","Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","","Records provided by Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr474","","","","8108"
"in211","Universidade Estadual do Sudoeste da Bahia","","Records provided by Universidade Estadual do Sudoeste da Bahia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in211","","","","38"
"dr110","Coleção de Crustacea do INPA","","Records provided by Coleção de Crustacea do INPA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr110","","","","2"
"co170","Herbário de São José do Rio Preto","","Records provided by Herbário de São José do Rio Preto, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co170","","","","313"
"co171","Herbário Pe. Dr. Raulino Reitz","","Records provided by Herbário Pe. Dr. Raulino Reitz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co171","","","","2676"
"dr238","Herbário da Embrapa Clima Temperado. Jabot - Banco de Dados da Flora Brasileira","","Heiden G (2023): ECT - Herbário da Embrapa Clima Temperado. Jabot - Banco de Dados da Flora Brasileira. v1.41. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=ect&v=1.41","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr238","","","","132"
"dr237","Herbário HSTM da Universidade UFOPA","","Records provided by Herbário HSTM da Universidade UFOPA, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr237","","","","20"
"co233","Coleção Internacional de Cultura de Glomeromycota da FURB","","Records provided by Coleção Internacional de Cultura de Glomeromycota da FURB, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co233","","","","33"
"co354","Coleção de Peixes do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Peixes do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co354","","","","4"
"dp13","Centro Nacional de Conservação da Flora","","Records provided by Centro Nacional de Conservação da Flora, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp13","","","","14932"
"co22","Coleção Zoológica- Setor Herpetologia- Répteis","","Records provided by Coleção Zoológica- Setor Herpetologia- Répteis, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co22","","","","1"
"dp10","Dados repatriados Portal GBIF - ocorrência no Brasil","","Records provided by Dados repatriados Portal GBIF - ocorrência no Brasil, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp10","","","","41777"
"co592","Coleção de Paleobotânica","","Records provided by Coleção de Paleobotânica, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co592","","","","1"
"co21","Coleção Zoológica - Setor Herpetologia - Amphibia","","Records provided by Coleção Zoológica - Setor Herpetologia - Amphibia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co21","","","","4"
"co119","Coleção de Ictiologia do MZUSP","","Records provided by Coleção de Ictiologia do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co119","","","","680"
"co116","Coleção de Entomologia do MZUSP","","Records provided by Coleção de Entomologia do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co116","","","","1327"
"co359","Coleção de Répteis do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Répteis do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co359","","","","40"
"co477","Coleção de Anfíbios Célio F. B. Haddad","","Records provided by Coleção de Anfíbios Célio F. B. Haddad, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co477","","","","76"
"co356","Coleção de Polychaeta do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Polychaeta do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co356","","","","7"
"dr421","Herbário Profª. Drª. Marlene Freitas da Silva","","Herbário MFS (http://www.colecoesbotanicasdaamazonia.com/)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr421","","","","68"
"dr784","Arachnida,_ordens_menores_do_Museu_Nacional_(MNRJ_ARAC_MINOR)","","Records provided by Arachnida,_ordens_menores_do_Museu_Nacional_(MNRJ_ARAC_MINOR), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr784","","","","15"
"dr308","Herbário da UCS","","Herbário da Universidade de Caxias do Sul, HUCS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr308","","","","2571"
"dr549","Coleção de Lepidoptera do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC - LEPIDOPTERA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr549","","","","5"
"dr428","Herbário Pe. Camille Torrand","","Herbário URM/Micologia/CCB/UFPE (http://inct.florabrasil.net/herbario-urm/)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr428","","","","3"
"dp18","Instituto Chico Mendes de Conservação da Biodiversidade","","Records provided by Instituto Chico Mendes de Conservação da Biodiversidade, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp18","","","","22385"
"dp17","Tropicos","","Records provided by Tropicos, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp17","","","","228"
"dp16","eBird Observation","","Records provided by eBird Observation, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp16","","","","338154"
"dr306","HAS - Herbário Alarich Rudolf Holger Schultz","","Herbário Alarich R.H. Schultz, do Museu de Ciências Naturais da Fundação Zoobotânica do Rio Grande do Sul (HAS/MCN/FZBRS)(www.fzb.rs.gov.br)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr306","","","","1170"
"dr427","Base de dados de Lissamphibia da UFMT","","Franco Curcio F (2017): Coleção de Vertebrados da Universidade Federal de Mato Grosso (UFMT) - Lissamphibia. v1.1. Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr. Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=lissamphibia&v=1.1","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr427","","","","4"
"dp15","Programa Biota/FAPESP","","Records provided by Programa Biota/FAPESP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp15","","","","519"
"dr668","Coleção de Peixes do Museu de Zoologia da Universidade Estadual de Londrina","","Shibatta O A (2017): UEL - Coleção de Peixes - Museu de Zoologia da Universidade Estadual de Londrina. v1.4. Universidade Estadual de Londrina (UEL). Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=uel_mzuel_peixes&v=1.4","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr668","","","","1634"
"dr426","Base de dados de Reptilia da UFMT","","Records provided by Base de dados de Reptilia da UFMT, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr426","","","","1"
"co101","Coleção Ictiológica do MNRJ","","Records provided by Coleção Ictiológica do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co101","","","","280"
"co220","Coleção Zoológica do Museu de Biologia Professor Mello Leitão","","Records provided by Coleção Zoológica do Museu de Biologia Professor Mello Leitão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co220","","","","3"
"co100","Coleção de Mollusca do MNRJ","","Records provided by Coleção de Mollusca do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co100","","","","23"
"co12","Herbário da Universidade de Brasília","","Records provided by Herbário da Universidade de Brasília, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co12","","","","8"
"in0","Universidade Federal do Paraná","","Records provided by Universidade Federal do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in0","","","","18074"
"co108","Coleção de Aracnídeos do Museu Goeldi","","Records provided by Coleção de Aracnídeos do Museu Goeldi, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co108","","","","15"
"co468","Herbário UNOPA da UNIOESTE","","Records provided by Herbário UNOPA da UNIOESTE, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co468","","","","5881"
"in1","Museu Nacional do Rio de Janeiro","","Records provided by Museu Nacional do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in1","","","","1774"
"co106","Herbário do Museu Goeldi","","Records provided by Herbário do Museu Goeldi, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co106","","","","128"
"in4","Fundação Oswaldo Cruz","","Records provided by Fundação Oswaldo Cruz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in4","","","","895"
"co345","Coleção de Lepidoptera do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Lepidoptera do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co345","","","","5"
"in3","Universidade de São Paulo","","Records provided by Universidade de São Paulo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in3","","","","2241"
"co346","Coleção de Mamíferos do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Mamíferos do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co346","","","","15"
"in6","Museu Paraense Emílio Goeldi","","Records provided by Museu Paraense Emílio Goeldi, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in6","","","","143"
"in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","","Records provided by Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in5","","","","9245"
"dr772","R-Tipos - Herbário do Museu Nacional - Tipos","","Herbário do Museu Nacional - Centro de referência da biodiversidade brasileira","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr772","","","","39"
"dr775","Coleção de Crustacea do Museu Nacional (MNRJ - CARCINO)","","Serejo, C.S.; Cardoso, I.A.; Moura, M.G.P.; Ferreira, B.C.A. (2014) Coleção de Crustacea do Museu Nacional da Universidade Federal do Rio de Janeiro, 8654 registros (atualizado em 29/05/2014)","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr775","","","","24"
"in8","Instituto Nacional de Pesquisas da Amazônia","","Records provided by Instituto Nacional de Pesquisas da Amazônia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in8","","","","3"
"dr411","Herbário UFP - Geraldo Mariz","","Herbário UFP - Geraldo Mariz","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr411","","","","148"
"dr890","Coleção Entomológica do MNRJ - Blattaria","","Records provided by Coleção Entomológica do MNRJ - Blattaria, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr890","","","","72"
"in9","Universidade Estadual de Londrina","","Records provided by Universidade Estadual de Londrina, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in9","","","","4551"
"dr892","Coleção Entomológica do MNRJ - Hemiptera","","Records provided by Coleção Entomológica do MNRJ - Hemiptera, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr892","","","","11"
"dr771","R-Bryophyta - Herbário do Museu Nacional - Bryophyta","","Herbário do Museu Nacional - Centro de referência da biodiversidade brasileira","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr771","","","","1"
"dr891","Coleção Entomológica do MNRJ - famílias aquáticas de Diptera","","Records provided by Coleção Entomológica do MNRJ - famílias aquáticas de Diptera, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr891","","","","41"
"dr539","Coleção de Aves do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC - AVES","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr539","","","","12"
"dr417","Base de dados do Herbário do Jardim Botânico Plantarum","","Herbário Instituto Plantarum de Estudos da Flora Ltda.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr417","","","","38"
"dr656","EOD – eBird Observation Dataset","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Auer T, Barker S, Borgmann K, Charnoky M, Childs D, Curtis J, Davies I, Downie I, Fink D, Fredericks T, Ganger J, Gerbracht J, Hanks C, Hochachka W, Iliff M, Imani J, Johnston A, Lenz T, Levatich T, Ligocki S, Long M T, Morris W, Morrow S, Oldham L, Padilla Obregon F, Robinson O, Rodewald A, Ruiz-Gutierrez V, Strimas-Mackey M, Wolf H, Wood C (2022). EOD – eBird Observation Dataset. Cornell Lab of Ornithology. Occurrence dataset https://doi.org/10.15468/aomfnb accessed via GBIF.org on 2023-07-06.","other Dataset: EOD – eBird Observation Dataset  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr656","","","","338154"
"dr414","Base de dados de Paleontologia do MZUSP","","Records provided by Base de dados de Paleontologia do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr414","","","","26"
"dr413","Coleção de Ornitologia do MZUSP","","Records provided by Coleção de Ornitologia do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr413","","","","152"
"dr534","Coleção de Anfíbios do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC AMP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr534","","","","456"
"co18","Coleção de Peixes do Museu de Zoologia da UEL","","Records provided by Coleção de Peixes do Museu de Zoologia da UEL, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co18","","","","1634"
"dr779","Coleção de Aves do Museu Nacional / UFRJ","","Records provided by Coleção de Aves do Museu Nacional / UFRJ, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr779","","","","205"
"dr537","Coleção de Aracnídeos do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC ARACNIDA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr537","","","","3"
"dr778","Mollusca Collection - Museu Nacional/UFRJ","","Pimenta A (2023). Mollusca Collection - Museu Nacional/UFRJ. Version 1.8. Museu Nacional / UFRJ. Occurrence dataset. https://ipt.sibbr.gov.br/mnrj/resource?r=mnrj_mollusca&v=1.8","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr778","","","","23"
"dr78","DZUP-Hymenoptera - Coleção Entomológica Pe. Jesus Santiago Moure (Hymenoptera)","","DZUP-Hymenoptera - Coleção Entomológica Pe. Jesus Santiago Moure (Hymenoptera)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr78","","","","2276"
"co135","Herbário Museu de Biologia Mello Leitão","","Records provided by Herbário Museu de Biologia Mello Leitão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co135","","","","118"
"co132","Herbário da Universidade Federal de Minas Gerais","","Records provided by Herbário da Universidade Federal de Minas Gerais, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co132","","","","1180"
"co495","Coleção do Departamento de Ecologia e Biologia Evolutivas","","Records provided by Coleção do Departamento de Ecologia e Biologia Evolutivas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co495","","","","20"
"co133","Herbário do Instituto de Ciências Naturais da UFRGS","","Records provided by Herbário do Instituto de Ciências Naturais da UFRGS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co133","","","","7770"
"co42","Coleção de Leishmania","","Records provided by Coleção de Leishmania, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co42","","","","2"
"co131","Herbário do Museu Botânico Municipal de Curitiba","","Records provided by Herbário do Museu Botânico Municipal de Curitiba, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co131","","","","2120"
"co138","Herbário da Universidade de São Paulo","","Records provided by Herbário da Universidade de São Paulo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co138","","","","917"
"co139","Herbário do CENARGEN","","Records provided by Herbário do CENARGEN, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co139","","","","1458"
"co379","Herbário da Universidade de Tocantins","","Records provided by Herbário da Universidade de Tocantins, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co379","","","","70"
"co137","Herbário da Universidade Paulista","","Records provided by Herbário da Universidade Paulista, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co137","","","","97"
"dr564","SP-Bryophyta - Maria Eneyda P. Kauffman Fidalgo","","Coleção de briófitas do herbário SP.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr564","","","","2122"
"dr201","Base de dados de Lepidoptera do MZUSP","","Records provided by Base de dados de Lepidoptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr201","","","","376"
"dr563","SP-Algae do Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo - Coleção de Algas","","SP-Algae - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo - Coleção de Algas","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr563","","","","12"
"dr200","Sub-coleção de Isoptera do MZUSP","","Records provided by Sub-coleção de Isoptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr200","","","","98"
"dr324","Base de dados repatriados do tropicos.org","","Records provided by Base de dados repatriados do tropicos.org, accessed through ALA website.","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr324","","","","228"
"dr566","Coleção de Algas do Herbário de algas de São José do Rio Preto","","Herbário de algas de São José do Rio Preto, SJRP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr566","","","","53"
"dr565","Herbário Maria Eneyda Pacheco Kauffmann Fidalgo - Coleção de Fungi","","Coleção de Fungos do Herbário SP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr565","","","","127"
"dr686","Coleção de espécimes tipo de Anfíbios Célio F. B. Haddad","","Coleção de espécimes tipo de Anfíbios Célio F. B. Haddad. v1. No organisation. Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=unesp_cfbh_tipos_01&amp;v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr686","","","","76"
"dr440","Herbário UFRN - Fungos","","Herbário UFRN - Fungos","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr440","","","","24"
"dr208","Base de dados de Phthiraptera do MZUSP","","Records provided by Base de dados de Phthiraptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr208","","","","22"
"dr326","PortalBio do ICMBio: Atlas de Registro de Aves Brasileiras","","PortalBio do ICMBio: Atlas de Registro de Aves Brasileiras. Disponível em: <https://portaldabiodiversidade.icmbio.gov.br/portal/>. Acesso em agosto de 2019","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr326","","","","1237"
"dr325","PEUFR - Herbário Professor Vasconcelos Sobrinho","","Herbário PEUFR (DB/UFRPE)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr325","","","","16"
"dr688","HISA - Herbário de Ilha Solteira","","Herbário de Ilha Solteira, HISA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr688","","","","3"
"dr207","Base de dados de Orthoptera do MZUSP","","Records provided by Base de dados de Orthoptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr207","","","","23"
"dr449","Coleção de Ictiofauna do Museu de Ciências Naturais da UNIVATES","","Coleção zoológica de Ictiologia do Museu de Ciências Naturais da UNIVATES. Universidade do Vale do Taquari - UNIVATES. Dataset/Occurrence. https://ipt.sibbr.gov.br/sibbr/resource?r=univates_ictiologia&amp","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr449","","","","1"
"dr327","PortalBio do ICMBio: Sisbio-Dibio","","PortalBio do ICMBio: Sisbio-Dibio. Disponível em: <https://portaldabiodiversidade.icmbio.gov.br/portal/>. Acesso em agosto de 2019","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr327","","","","21148"
"dr569","Herbário de Pteridophyta de São José do Rio Preto","","Herbário de Pteridophyta de São José do Rio Preto, SJRP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr569","","","","35"
"dr206","Base de dados de Ephemeroptera do MZUSP","","Records provided by Base de dados de Ephemeroptera do MZUSP, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr206","","","","2"
